Gid	Name	CPM-N1	CPM-N2	CPM-N3	CPM-P1	CPM-P2	CPM-P3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Tag
ENSG00000159479.17	MED8	8.3796	4.6045	7.6336	9.61	9.2103	19.1644	1025.7477	1.1807	0.3516	3.3579	8e-4	0.0135	NC
ENSG00000198198.17	SZT2	130.7196	51.9197	104.6458	55.1727	110.4047	144.4136	9759.4236	0.3734	0.2678	1.394	0.1633	0.3995	NC
ENSG00000142949.17	PTPRF	2.0339	1.3383	2.8649	2.1732	1.7078	4.1188	246.3286	0.6848	0.4292	1.5956	0.1106	0.3216	NC
ENSG00000066135.13	KDM4A	11.8146	4.4797	11.0074	6.3348	10.4259	14.1265	962.0121	0.4911	0.2924	1.6797	0.093	0.2916	NC
ENSG00000236200.6	KDM4A-AS1	2.0972	1.7692	2.9969	0.9234	1.8644	2.2892	197.7098	-0.2292	0.319	-0.7184	0.4725	0.7026	NC
ENSG00000126091.20	ST3GAL3	4.6824	3.6859	6.8231	1.4837	3.2367	3.872	386.8679	-0.6166	0.3022	-2.0403	0.0413	0.1825	NC
ENSG00000237950.2	AL357079.1	2.7932	1.5197	3.4869	1.0897	2.2746	2.7062	225.0899	-0.1024	0.2896	-0.3537	0.7235	0.8675	NC
ENSG00000117408.11	IPO13	27.2178	11.6587	20.6954	11.4507	24.0214	33.9972	2104.7034	0.4472	0.2725	1.6411	0.1008	0.3053	NC
ENSG00000132768.14	DPH2	12.7999	9.1863	11.5917	4.7034	13.5135	16.4582	1120.8532	0.1687	0.32	0.5273	0.598	0.7888	NC
ENSG00000117410.14	ATP6V0B	228.7887	29.9406	104.5327	108.8371	147.0372	235.8274	14045.4103	0.8479	0.5391	1.5728	0.1158	0.3298	NC
ENSG00000117411.16	B4GALT2	1.9616	0.8619	1.734	0.708	1.9017	3.1487	163.6156	0.4976	0.371	1.3412	0.1798	0.4218	NC
ENSG00000159214.13	CCDC24	1.4102	0.5897	2.2995	0.5664	0.9993	1.7275	119.3433	-0.1032	0.427	-0.2416	0.8091	0.9144	NC
ENSG00000196517.11	SLC6A9	0.1808	2.7446	0.2262	2.9858	3.4753	0.6808	230.9183	1.2581	1.1395	1.1041	0.2696	0.5245	NC
ENSG00000230615.7	AL139220.2	0.1175	2.5518	0	10.7674	1.2305	0.1362	425.5904	2.6087	2.5574	1.0201	0.3077	0.563	NC
ENSG00000178028.14	DMAP1	61.5949	33.3089	55.4894	20.8206	37.7437	59.2292	4360.8145	-0.141	0.2387	-0.5905	0.5549	0.7592	NC
ENSG00000117419.16	ERI3	17.401	12.1804	16.6808	7.8739	17.1827	22.8662	1562.2524	0.2171	0.2633	0.8245	0.4097	0.6554	NC
ENSG00000187147.18	RNF220	55.8367	37.3237	53.7554	26.5275	47.2822	71.3303	4856.4453	0.1746	0.2461	0.7095	0.478	0.7064	NC
ENSG00000126106.14	TMEM53	2.3864	1.4176	2.6576	1.7361	2.2672	3.0976	232.2026	0.4481	0.3111	1.4406	0.1497	0.3808	NC
ENSG00000198520.12	ARMH1	14.1016	18.5087	13.3634	4.1309	20.3373	12.4671	1419.4727	-0.2919	0.5375	-0.5431	0.5871	0.7817	NC
ENSG00000142945.13	KIF2C	0.6689	0.7712	0.8293	1.3051	3.3709	3.7869	185.1438	2.0081	0.4009	5.009	0	0	Up
ENSG00000142937.12	RPS8	590.9727	632.427	534.6322	189.9585	557.7062	621.4807	52722.5397	-0.3048	0.4066	-0.7498	0.4534	0.688	NC
ENSG00000200913.1	SNORD46	1.5819	0.7145	0.8482	0.3755	1.238	1.4212	99.3781	0.0977	0.4289	0.2277	0.8199	0.9197	NC
ENSG00000173846.13	PLK3	339.6577	47.5647	108.9055	76.2087	126.5582	97.5239	12751.5971	-0.2434	0.5819	-0.4183	0.6757	0.8386	NC
ENSG00000188396.3	TCTEX1D4	2.974	0.9527	3.0911	0.6957	1.5214	1.3701	166.5447	-0.62	0.3913	-1.5843	0.1131	0.3256	NC
ENSG00000222009.8	BTBD19	14.2552	5.0808	9.5938	6.6796	8.651	10.8842	927.5487	0.23	0.3508	0.6556	0.5121	0.731	NC
ENSG00000117425.14	PTCH2	1.7175	1.0774	2.7142	0.591	1.7675	2.4424	163.0153	-0.0257	0.3912	-0.0657	0.9476	0.9783	NC
ENSG00000070785.17	EIF2B3	6.2915	6.3737	11.2524	3.4352	6.7791	12.2543	758.662	0.037	0.3757	0.0985	0.9215	0.9671	NC
ENSG00000126107.15	HECTD3	39.4211	20.7316	34.8317	24.4959	36.4013	45.7835	3434.2111	0.4673	0.2589	1.8048	0.0711	0.2491	NC
ENSG00000126088.14	UROD	25.663	17.2839	21.7886	24.2989	33.5823	33.8951	2797.3533	0.8157	0.3394	2.4032	0.0163	0.1039	NC
ENSG00000162415.7	ZSWIM5	5.035	3.5271	3.8451	0.6403	2.7668	0.8595	274.6894	-1.324	0.5589	-2.3687	0.0179	0.1098	NC
ENSG00000132781.18	MUTYH	2.4135	4.4571	3.8639	0.6833	1.5661	1.5488	252.3741	-1.4227	0.4983	-2.8552	0.0043	0.0439	NC
ENSG00000132773.12	TOE1	13.6767	8.1429	10.1215	2.9181	8.3825	8.7652	845.0884	-0.5069	0.3201	-1.5836	0.1133	0.3258	NC
ENSG00000070759.17	TESK2	14.6801	4.9788	8.1425	5.5714	9.3371	11.8033	899.9895	0.2504	0.3468	0.7219	0.4704	0.7008	NC
ENSG00000280670.3	CCDC163	1.2113	1.2589	1.6021	0.2093	4.0421	2.17	168.7933	0.6618	0.7315	0.9047	0.3656	0.6172	NC
ENSG00000132763.15	MMACHC	1.6994	1.5084	1.7906	0.6587	1.9763	3.1146	175.0172	0.2559	0.408	0.6273	0.5305	0.7428	NC
ENSG00000117450.14	PRDX1	23.5388	13.2918	31.3636	39.9543	50.0714	70.5644	4059.6432	1.5758	0.3165	4.9781	0	1e-4	Up
ENSG00000117448.13	AKR1A1	34.0697	17.1591	32.7395	21.5901	46.8646	59.7483	3522.1771	0.8393	0.234	3.587	3e-4	0.0075	NC
ENSG00000132780.17	NASP	52.9893	40.8848	64.2916	26.0165	57.1488	61.0758	5055.8365	0.073	0.271	0.2694	0.7876	0.9019	NC
ENSG00000159588.15	CCDC17	10.0338	4.82	8.4629	3.466	3.9302	6.1952	608.7738	-0.4487	0.3214	-1.396	0.1627	0.3984	NC
ENSG00000159592.11	GPBP1L1	100.7629	47.6101	95.7305	57.4998	77.1356	114.8161	8281.8818	0.3447	0.2742	1.2572	0.2087	0.4575	NC
ENSG00000234329.1	AL604028.2	1.9164	1.1228	2.4503	1.1143	1.8943	2.6296	184.4306	0.3044	0.2946	1.0335	0.3014	0.5571	NC
ENSG00000159596.7	TMEM69	9.392	5.1716	9.7823	7.8062	11.9995	18.7134	1063.7701	0.9181	0.2488	3.6895	2e-4	0.0055	NC
ENSG00000197429.11	IPP	7.0598	5.852	10.2912	2.3148	4.3926	5.2677	576.8927	-0.7311	0.2982	-2.4516	0.0142	0.0957	NC
ENSG00000086015.21	MAST2	18.3772	6.9408	20.2619	7.8985	15.8552	19.0623	1430.4871	0.2141	0.3114	0.6876	0.4917	0.716	NC
ENSG00000117461.15	PIK3R3	2.7299	1.8146	3.3362	1.2436	1.3797	1.4212	202.0637	-0.5694	0.4027	-1.4139	0.1574	0.3914	NC
ENSG00000085998.14	POMGNT1	33.22	22.4554	24.5593	7.9047	24.4167	26.8233	2280.4166	-0.3192	0.3472	-0.9192	0.358	0.6104	NC
ENSG00000085999.13	RAD54L	0.6328	0.9867	1.2063	0.7326	1.6855	2.1871	126.9464	0.8014	0.4612	1.7378	0.0822	0.2706	NC
ENSG00000132128.16	LRRC41	22.3636	15.2652	26.463	17.3669	27.2656	40.8307	2532.4638	0.6506	0.2526	2.5758	0.01	0.0762	NC
ENSG00000173660.12	UQCRH	54.3904	30.1901	45.8579	43.3895	62.3618	112.4163	5899.0112	0.9673	0.2739	3.5316	4e-4	0.0087	NC
ENSG00000117481.10	NSUN4	12.8541	8.7327	16.6619	8.5942	13.5284	23.7853	1397.3465	0.4763	0.2834	1.681	0.0928	0.2913	NC
ENSG00000117480.16	FAAH	8.6236	2.9033	10.1781	2.6841	6.5554	19.8026	766.0527	0.5463	0.5204	1.0497	0.2938	0.5493	NC
ENSG00000232022.7	FAAHP1	7.6293	1.6331	6.465	0.511	1.4021	1.5658	281.2202	-1.8702	0.4551	-4.1092	0	0.0015	Down
ENSG00000269956.2	MKNK1-AS1	2.5943	0.5784	2.0733	2.5795	1.4244	3.0466	219.9801	0.9744	0.5733	1.6997	0.0892	0.2847	NC
ENSG00000079277.21	MKNK1	109.2328	19.0644	59.3156	77.9448	50.9141	106.4253	7359.5545	0.8487	0.5605	1.514	0.13	0.3515	NC
ENSG00000142961.14	MOB3C	26.3229	10.0369	21.6756	26.7676	22.2987	33.4951	2521.125	0.9633	0.4198	2.2947	0.0217	0.124	NC
ENSG00000123472.12	ATPAF1	19.8778	16.8076	21.9206	9.8562	20.1061	26.1	1923.6667	0.0984	0.2865	0.3433	0.7314	0.8715	NC
ENSG00000159658.12	EFCAB14	132.3467	54.8797	132.5978	74.7928	112.2691	161.6803	11096.1344	0.441	0.2821	1.5635	0.1179	0.333	NC
ENSG00000162366.8	PDZK1IP1	6.1559	60.3689	5.4472	13.4638	15.6613	0.5872	2235.1204	-1.1289	1.6538	-0.6826	0.4948	0.7183	NC
ENSG00000162367.11	TAL1	7.9547	9.4245	12.6661	57.2904	9.5608	10.0417	2602.5461	2.1276	0.8891	2.3929	NA	NA	NC
ENSG00000123473.15	STIL	1.9977	1.0547	2.1487	1.4652	4.057	5.157	260.6847	1.2258	0.3175	3.8609	1e-4	0.0033	Up
ENSG00000162368.13	CMPK1	116.8892	108.0583	145.3581	50.6786	83.8476	102.4426	10259.7478	-0.4315	0.3078	-1.402	0.1609	0.396	NC
ENSG00000237424.1	FOXD2-AS1	6.4271	3.1528	7.3885	2.4194	3.5872	4.5528	449.2644	-0.357	0.2936	-1.216	0.224	0.4747	NC
ENSG00000186564.5	FOXD2	3.1729	0.9186	3.3738	1.2128	1.417	2.136	196.7436	-0.238	0.4255	-0.5592	0.576	0.7739	NC
ENSG00000117834.12	SLC5A9	1.7085	0.1361	1.1686	1.5329	0.7234	3.3104	144.7843	1.3539	0.7458	1.8153	0.0695	0.2458	NC
ENSG00000132122.12	SPATA6	8.5784	1.8826	6.955	5.3621	3.4306	17.9049	707.6311	0.9137	0.5854	1.561	0.1185	0.3338	NC
ENSG00000235105.1	AL356968.2	1.0124	9.6513	0.7351	12.5157	14.0728	1.4637	899.5128	1.4277	1.5487	0.9219	0.3566	0.6091	NC
ENSG00000162373.13	BEND5	1.1299	1.1341	0.8482	0.3571	1.5214	2.3998	120.1077	0.4112	0.5376	0.7648	0.4444	0.6807	NC
ENSG00000185104.20	FAF1	24.976	17.0684	27.33	12.6327	22.8282	34.4993	2310.5067	0.2085	0.2453	0.85	0.3953	0.644	NC
ENSG00000123080.12	CDKN2C	3.8598	1.8259	4.1843	3.4229	3.8258	5.8974	397.2294	0.7719	0.3407	2.2658	0.0235	0.1296	NC
ENSG00000123091.5	RNF11	119.0587	63.7825	146.9225	59.4759	78.9329	87.2439	9293.0916	-0.1737	0.3264	-0.5322	0.5946	0.7871	NC
ENSG00000233406.5	AL162430.1	1.8169	0.8959	3.0723	0.6095	0.9024	1.3276	136.2577	-0.6961	0.4012	-1.7351	0.0827	0.2715	NC
ENSG00000085832.17	EPS15	91.181	42.3478	106.4364	56.0777	71.2738	126.5683	8186.4148	0.3895	0.3119	1.2487	0.2118	0.4606	NC
ENSG00000232027.2	AL671986.1	1.3469	0.499	1.3382	0.7757	0.8949	0.9872	99.1052	0.1733	0.4311	0.4019	0.6878	0.8459	NC
ENSG00000117859.19	OSBPL9	46.7611	22.4668	45.726	25.2285	35.3945	60.6333	3911.6596	0.3515	0.271	1.2967	0.1947	0.4409	NC
ENSG00000078618.21	NRDC	230.2621	77.4259	154.4996	165.1671	166.7406	247.7242	18089.3077	0.739	0.3911	1.8896	0.0588	0.2235	NC
ENSG00000266993.3	AL050343.2	4.5288	1.7012	4.6367	2.1547	2.8339	3.7359	323.5859	0.0586	0.3485	0.168	0.8666	0.9434	NC
ENSG00000117862.12	TXNDC12	7.2948	2.8693	4.9194	4.3217	6.1825	8.595	578.8803	0.6541	0.3171	2.063	0.0391	0.1766	NC
ENSG00000198841.4	KTI12	4.9627	3.7539	4.1843	1.8961	2.9607	5.2932	384.5194	-0.1905	0.3296	-0.578	0.5633	0.7652	NC
ENSG00000134717.18	BTF3L4	24.2077	13.0877	25.9353	18.9429	24.812	47.6471	2597.2081	0.7875	0.2898	2.7176	0.0066	0.0581	NC
ENSG00000157077.14	ZFYVE9	2.7028	2.5518	3.0534	2.3886	1.9912	3.9146	294.2419	0.2701	0.4328	0.6241	0.5326	0.7439	NC
ENSG00000154222.14	CC2D1B	48.5419	28.9199	43.5207	16.7205	35.6556	43.0858	3558.0848	-0.1323	0.234	-0.5656	0.5717	0.7713	NC
ENSG00000085840.13	ORC1	1.5638	1.3269	1.6021	1.6807	3.7214	3.855	238.3526	1.2253	0.3288	3.7266	2e-4	0.0049	Up
ENSG00000134748.13	PRPF38A	51.9317	34.1028	54.6412	21.4177	36.5132	49.0257	4107.9265	-0.1614	0.2312	-0.6982	0.485	0.7113	NC
ENSG00000134744.14	TUT4	86.0737	70.4965	97.7285	21.6086	57.3129	62.3012	6478.5034	-0.6984	0.303	-2.3049	0.0212	0.1221	NC
ENSG00000116157.6	GPX7	3.8598	4.2756	4.4859	1.0835	4.3255	5.0379	379.9905	-0.2496	0.4487	-0.5563	0.578	0.7753	NC
ENSG00000182183.15	SHISAL2A	12.6462	13.0423	14.1928	2.1116	9.2029	6.0931	950.5925	-1.0994	0.457	-2.4055	0.0161	0.1036	NC
ENSG00000162377.6	COA7	4.9536	4.1282	6.3896	4.254	6.6001	12.0671	646.855	0.7417	0.3152	2.353	0.0186	0.1127	NC
ENSG00000162378.13	ZYG11B	49.473	20.4027	43.0495	25.8687	30.8528	58.5143	3780.4252	0.3352	0.3196	1.0487	0.2943	0.5498	NC
ENSG00000228929.1	RPS13P2	2.061	1.5197	0.9047	0.591	1.6109	3.455	164.4643	0.3154	0.5368	0.5876	0.5568	0.7608	NC
ENSG00000121310.17	ECHDC2	77.8117	57.8965	67.1377	8.6065	59.2967	28.3977	4859.4072	-0.9637	0.5341	-1.8044	0.0712	0.2492	NC
ENSG00000230953.2	AC099677.1	2.7299	0.9527	3.4492	0.3078	2.036	0.834	157.422	-0.8908	0.5949	-1.4975	0.1343	0.3578	NC
ENSG00000116171.18	SCP2	53.4774	29.8158	67.59	36.5807	62.1008	83.2867	5561.8285	0.5468	0.2569	2.1282	0.0333	0.1609	NC
ENSG00000174348.13	PODN	2.061	1.5311	2.5445	0.0739	0.798	0.7489	120.6764	-1.8797	0.5981	-3.143	0.0017	0.0232	NC
ENSG00000162383.12	SLC1A7	11.3536	2.6425	10.1592	0.1108	0.8129	0.9446	370.1085	-3.5158	0.5805	-6.0566	0	0	Down
ENSG00000157184.7	CPT2	3.9141	2.2909	3.2419	1.9023	3.6543	6.425	351.7802	0.5026	0.3037	1.6549	0.0979	0.3013	NC
ENSG00000162384.14	CZIB	20.9715	14.063	19.7153	9.4868	17.7346	24.5001	1773.3592	0.1141	0.2454	0.465	0.6419	0.8183	NC
ENSG00000162385.11	MAGOH	33.5997	11.7267	18.9425	15.7786	24.976	32.2612	2297.2933	0.499	0.3406	1.4651	0.1429	0.3708	NC
ENSG00000157193.18	LRP8	21.8303	6.8614	20.375	13.5992	24.6777	27.5467	1916.2806	0.7751	0.3405	2.2761	0.0228	0.1277	NC
ENSG00000230138.2	LINC02812	1.2113	0.6011	2.0545	0.3571	1.3871	2.136	119.0357	0.1613	0.4957	0.3253	0.7449	0.8788	NC
ENSG00000058804.12	NDC1	12.0677	8.4832	13.2127	4.7834	12.1785	18.1347	1118.3487	0.1855	0.3041	0.6102	0.5417	0.7498	NC
ENSG00000058799.15	YIPF1	22.7704	7.4511	16.7561	13.6485	17.8166	27.6233	1781.1678	0.6777	0.3424	1.9793	0.0478	0.1991	NC
ENSG00000081870.11	HSPB11	18.8021	10.139	16.2472	4.3894	13.7447	15.7264	1265.6852	-0.2533	0.3131	-0.8091	0.4185	0.662	NC
ENSG00000116212.15	LRRC42	6.9513	2.858	7.6336	3.1828	6.0408	7.8547	561.3734	0.2598	0.2939	0.884	0.3767	0.6265	NC
ENSG00000116209.12	TMEM59	129.4541	63.6805	109.716	77.2922	108.0257	139.9459	10685.0405	0.4195	0.2739	1.5317	0.1256	0.3446	NC
ENSG00000280378.1	AL353898.3	3.5254	2.858	6.2199	1.3359	1.9166	1.753	290.3671	-0.9776	0.402	-2.4321	0.015	0.0991	NC
ENSG00000116205.14	TCEANC2	28.2483	18.3613	23.0515	13.0021	20.4716	33.4611	2284.8468	0.1374	0.2808	0.4894	0.6246	0.8066	NC
ENSG00000215883.10	CYB5RL	7.8914	5.3984	5.9938	2.9612	7.3161	9.9226	651.7328	0.1923	0.3238	0.594	0.5525	0.7576	NC
ENSG00000116221.15	MRPL37	22.1648	10.0256	16.5865	22.8275	33.545	45.6133	2623.0603	1.3636	0.2787	4.8924	0	1e-4	Up
ENSG00000157216.15	SSBP3	105.9696	76.9156	130.2983	36.1805	74.4284	64.5223	8092.0728	-0.5733	0.2993	-1.9157	0.0554	0.2161	NC
ENSG00000198711.5	SSBP3-AS1	12.4473	5.9428	14.5886	1.5391	6.4062	6.2548	727.1788	-1.0297	0.3932	-2.6185	0.0088	0.07	NC
ENSG00000006555.11	TTC22	17.7987	8.5172	18.8295	2.4687	8.2185	6.6122	975.8583	-1.1447	0.3469	-3.2998	0.001	0.0157	NC
ENSG00000162398.11	LEXM	2.8655	0.7939	2.9969	0.3694	1.141	1.2084	141.3362	-1.0129	0.4425	-2.2891	0.0221	0.1249	NC
ENSG00000116133.13	DHCR24	10.5219	5.6025	12.0252	12.2756	15.9149	20.126	1344.6414	1.1283	0.3058	3.6897	2e-4	0.0055	Up
ENSG00000169174.10	PCSK9	0	0	0.0377	2.8196	0	9.3099	211.7749	8.7828	3.4125	2.5737	0.0101	0.0765	NC
ENSG00000162402.14	USP24	227.5955	72.8781	200.5083	83.1838	154.9573	196.137	15068.9349	0.1124	0.3213	0.3499	0.7264	0.8692	NC
ENSG00000223416.3	RPS26P15	28.9443	0.2041	2.5634	2.5856	5.0116	39.3329	1093.1106	0.7198	1.5838	0.4544	NA	NA	NC
ENSG00000162600.12	OMA1	9.1208	8.4491	10.5551	3.9523	8.3079	12.3649	877.4546	-0.071	0.3231	-0.2199	0.826	0.9226	NC
ENSG00000185839.3	AL035411.1	2.061	0.8619	2.1864	2.4379	2.9085	4.9698	266.7155	1.3489	0.3473	3.8837	1e-4	0.0031	Up
ENSG00000162601.11	MYSM1	121.7977	50.5134	101.9693	46.0737	79.798	115.0543	8386.4383	0.0855	0.26	0.3288	0.7423	0.877	NC
ENSG00000177606.7	JUN	569.1424	490.0731	524.8311	122.6272	314.0612	590.2151	42379.5745	-0.5902	0.3918	-1.5061	0.132	0.3543	NC
ENSG00000172456.17	FGGY	3.6339	1.1681	3.355	2.1547	2.7594	3.1827	274.5339	0.4082	0.3914	1.0429	0.297	0.5524	NC
ENSG00000134709.11	HOOK1	6.0384	11.2617	3.6943	1.182	6.6822	4.0848	588.3848	-0.9138	0.6856	-1.333	0.1825	0.4251	NC
ENSG00000162599.17	NFIA	12.6733	6.4077	20.5824	25.6163	10.9704	54.8465	2297.3717	1.5651	0.5742	2.7256	0.0064	0.0571	NC
ENSG00000162604.12	TM2D1	24.5964	14.6754	23.8431	11.7216	20.3895	28.6019	2057.9403	0.1748	0.2247	0.7778	0.4367	0.6757	NC
ENSG00000132849.20	PATJ	34.6663	29.5777	34.8317	6.9997	22.4404	13.9563	2366.6861	-1.0121	0.403	-2.5115	0.012	0.0853	NC
ENSG00000162607.13	USP1	35.4618	30.7118	41.4097	18.3211	32.3965	42.6093	3391.864	-0.0146	0.2866	-0.0508	0.9595	0.9839	NC
ENSG00000116641.18	DOCK7	8.2892	3.9127	8.8022	6.6919	8.4869	13.267	841.9024	0.7619	0.3011	2.5299	0.0114	0.0826	NC
ENSG00000125703.15	ATG4C	4.6553	3.6178	6.088	2.5056	4.952	11.9735	542.5719	0.5233	0.3952	1.3243	0.1854	0.428	NC
ENSG00000088035.18	ALG6	20.4382	9.9915	18.8483	8.2433	15.7508	22.2109	1558.8298	0.1449	0.235	0.6165	0.5376	0.7474	NC
ENSG00000142856.16	ITGB3BP	10.1332	6.9068	8.4063	5.042	8.5466	13.8712	885.4961	0.2835	0.2892	0.9802	0.327	0.5826	NC
ENSG00000203965.13	EFCAB7	4.1039	3.5498	4.6555	1.4344	3.5051	5.1996	368.1681	-0.1732	0.3375	-0.5133	0.6077	0.7957	NC
ENSG00000116652.6	DLEU2L	1.3378	0.8052	1.7529	0.4125	0.9397	1.1914	103.2801	-0.3897	0.3335	-1.1687	0.2425	0.4953	NC
ENSG00000079739.17	PGM1	19.0733	9.9802	18.9991	9.6592	17.0708	29.8614	1710.1022	0.4449	0.2648	1.68	0.093	0.2916	NC
ENSG00000158966.16	CACHD1	0.9401	2.8013	0.5089	0.3509	1.1336	1.3446	130.8779	-0.7885	0.7824	-1.0079	0.3135	0.5681	NC
ENSG00000162437.14	RAVER2	16.5422	5.2509	12.4022	4.2909	8.2632	12.1267	931.3732	-0.1944	0.3295	-0.5899	0.5553	0.7595	NC
ENSG00000162434.13	JAK1	578.7062	279.4796	476.2025	172.2592	304.2617	381.2792	35732.8828	-0.3672	0.2366	-1.5518	0.1207	0.3372	NC
ENSG00000162433.15	AK4	0.7051	0.2268	0.9424	1.8346	3.7885	2.4338	180.8992	2.5287	0.4766	5.3056	0	0	Up
ENSG00000116675.16	DNAJC6	1.6181	0.8846	1.4325	6.1009	2.6177	0.5191	305.3543	2.0315	0.8905	2.2813	0.0225	0.1266	NC
ENSG00000213625.9	LEPROT	66.1236	17.9303	65.4225	60.3747	56.2017	93.0051	6210.0404	0.9445	0.4454	2.1206	0.034	0.1626	NC
ENSG00000116678.19	LEPR	9.401	2.0868	9.9708	7.1475	4.3106	10.68	739.9449	0.5507	0.5558	0.9908	0.3218	0.5776	NC
ENSG00000184588.18	PDE4B	154.0143	18.5654	56.1303	36.5376	76.6807	78.6829	6640.4956	0.1445	0.5664	0.2551	0.7986	0.9089	NC
ENSG00000198160.14	MIER1	105.9334	59.5523	112.4113	48.4069	60.3557	74.062	7735.7877	-0.2539	0.3077	-0.8252	0.4093	0.655	NC
ENSG00000116704.8	SLC35D1	27.8867	13.3031	26.1238	9.2898	14.9006	22.0407	1843.1155	-0.2712	0.2451	-1.1063	0.2686	0.5236	NC
ENSG00000081985.11	IL12RB2	4.5649	3.4137	5.7487	1.2928	4.0645	2.3573	353.1966	-0.5942	0.407	-1.4599	0.1443	0.3728	NC
ENSG00000142864.14	SERBP1	91.859	97.5564	139.4021	92.5414	123.2619	186.4953	12713.6567	0.5082	0.3551	1.4311	0.1524	0.3844	NC
ENSG00000116717.13	GADD45A	9.8801	4.9447	11.4786	21.3993	8.1737	14.9605	1406.55	1.3743	0.605	2.2714	0.0231	0.1285	NC
ENSG00000116729.14	WLS	63.4028	2.2342	21.242	6.0763	12.0741	18.0155	1782.7241	-0.8625	0.7734	-1.1153	0.2647	0.5198	NC
ENSG00000033122.20	LRRC7	2.8565	1.6104	2.1864	0.868	1.8719	2.3658	192.6498	-0.1856	0.2961	-0.6269	0.5307	0.7429	NC
ENSG00000066557.6	LRRC40	11.914	7.0882	14.1174	7.0736	10.2992	15.7774	1106.6985	0.2717	0.2644	1.0277	0.3041	0.5595	NC
ENSG00000116754.13	SRSF11	398.8752	249.04	360.9639	119.629	287.1611	303.9494	28224.3102	-0.3041	0.2577	-1.1799	0.2381	0.4907	NC
ENSG00000118454.13	ANKRD13C	21.5591	18.2365	29.2714	10.3241	20.6356	22.3726	2049.6436	-0.1551	0.2919	-0.5311	0.5953	0.7875	NC
ENSG00000116761.12	CTH	1.6542	0.5104	1.9225	1.4529	0.7159	0.5872	124.3259	0.174	0.7038	0.2473	0.8047	0.9115	NC
ENSG00000132485.14	ZRANB2	120.4508	90.5022	112.6186	33.6872	87.1365	93.371	8870.9518	-0.4399	0.298	-1.4766	0.1398	0.3658	NC
ENSG00000207721.1	MIR186	2.1333	1.4176	1.9414	0.4433	0.9322	1.3701	133.2587	-0.8351	0.3171	-2.6338	0.0084	0.0679	NC
ENSG00000254685.6	FPGT	5.4056	2.4497	4.599	3.3429	5.6604	8.6631	501.496	0.756	0.2666	2.8353	0.0046	0.0457	NC
ENSG00000116791.14	CRYZ	7.557	7.5192	8.8964	1.6314	10.4782	6.391	698.9993	-0.3055	0.5199	-0.5876	0.5568	0.7608	NC
ENSG00000162623.16	TYW3	11.679	8.9708	11.0074	5.5776	12.2382	14.9264	1080.0703	0.2111	0.2861	0.7377	0.4607	0.6933	NC
ENSG00000117054.13	ACADM	12.4654	11.0009	14.7582	8.5757	15.8403	28.4998	1519.3359	0.5907	0.3249	1.8179	0.0691	0.2451	NC
ENSG00000137955.16	RABGGTB	117.974	51.9197	88.8509	45.5935	99.6431	133.4273	8757.212	0.33	0.2672	1.2353	0.2167	0.4663	NC
ENSG00000184005.11	ST6GALNAC3	1.7085	0.1588	1.5833	4.2109	1.3722	11.6756	356.1479	2.7313	0.7892	3.4608	5e-4	0.0105	NC
ENSG00000226415.1	TPI1P1	2.5401	0.3402	1.1309	2.5487	3.0726	4.672	249.5653	1.7935	0.5544	3.2349	0.0012	0.0186	NC
ENSG00000142892.15	PIGK	16.6868	13.8589	18.641	6.7473	12.7379	20.2451	1471.9047	-0.1622	0.2953	-0.5492	0.5828	0.7787	NC
ENSG00000226084.5	AC113935.1	74.6027	75.8722	65.4602	18.2596	58.0736	78.5297	6148.5042	-0.4602	0.4212	-1.0926	0.2746	0.5302	NC
ENSG00000154027.19	AK5	10.549	13.8135	10.5551	1.0281	5.3025	1.9743	739.2992	-1.9955	0.593	-3.3654	8e-4	0.0133	NC
ENSG00000036549.13	AC118549.1	36.9804	24.5309	33.3804	12.3988	23.313	31.9889	2684.0407	-0.2924	0.2477	-1.1807	0.2377	0.4904	NC
ENSG00000077254.14	USP33	103.5289	49.7649	87.5504	56.25	72.7579	118.8838	8199.1888	0.3344	0.2811	1.1894	0.2343	0.4869	NC
ENSG00000180488.15	MIGA1	18.6122	15.2198	22.6557	6.8335	13.3643	17.4709	1557.7118	-0.3993	0.2736	-1.4593	0.1445	0.373	NC
ENSG00000219201.4	AC138392.1	9.8711	5.1602	6.1822	8.114	11.9846	12.0501	945.2045	0.9177	0.3523	2.605	0.0092	0.0719	NC
ENSG00000162614.18	NEXN	2.7661	0.8392	21.4682	11.1552	1.7526	22.679	1017.0055	1.0188	1.0091	1.0096	0.3127	0.5671	NC
ENSG00000162613.16	FUBP1	167.1486	95.5831	175.44	68.4703	138.4011	140.4139	13002.7678	-0.0661	0.244	-0.2707	0.7866	0.9016	NC
ENSG00000162616.9	DNAJB4	4.7367	3.7086	6.1445	3.5399	4.6909	7.4122	515.4786	0.3505	0.3103	1.1298	0.2586	0.5127	NC
ENSG00000273338.1	AC103591.3	2.6305	0.93	1.6398	0.1847	0.9098	1.6084	119.0679	-0.8591	0.5379	-1.5972	0.1102	0.3209	NC
ENSG00000137959.16	IFI44L	39.7827	17.023	28.0651	327.3423	60.5794	60.0972	13509.3404	3.2656	0.8571	3.8101	NA	NA	NC
ENSG00000137965.11	IFI44	46.3634	17.4086	30.7981	198.9529	62.9584	99.3024	10100.357	2.6329	0.6766	3.8913	1e-4	0.003	Up
