Gid	Name	CPM-nCoV1	CPM-nCoV2	CPM-Ctrl1	CPM-Ctrl2	CPM-Ctrl3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Tag
ENSG00000068784.13	SRBD1	36.7209	4.9328	43.5168	46.8612	55.1338	163.333	-0.1817	0.6918	-0.2626	0.7928	0.8805	NC
ENSG00000171132.14	PRKCE	23.6646	17.6172	42.7041	56.1478	40.9667	171.3155	0.0825	0.2382	0.3465	0.7289	0.8398	NC
ENSG00000116016.14	EPAS1	148.5158	269.5429	418.4221	320.9007	376.4111	1679.4776	0.5042	0.3906	1.2911	0.1967	0.3117	NC
ENSG00000119729.12	RHOQ	86.4982	58.4891	142.7759	160.1676	147.0985	584.755	0.2097	0.1288	1.6279	0.1035	0.1822	NC
ENSG00000119878.6	CRIPT	13.0563	20.4359	17.0681	20.218	17.7604	103.9194	1.0042	0.8305	1.2091	0.2266	0.3514	NC
ENSG00000171150.9	SOCS5	4.4881	3.5234	25.4836	31.5264	29.7004	61.5387	-1.5983	0.3893	-4.1054	0	2e-4	NC
ENSG00000180398.12	MCFD2	30.1928	10.5703	146.8228	140.9777	161.5276	334.7623	-1.6286	0.3277	-4.9702	0	0	NC
ENSG00000068724.17	TTC7A	56.7135	25.0164	342.547	298.0783	276.3804	682.2317	-1.6361	0.2616	-6.2547	0	0	NC
ENSG00000143933.18	CALM2	294.1756	183.2187	462.0236	553.3904	484.4892	1979.6	0.2076	0.1639	1.2671	0.2051	0.3229	NC
ENSG00000119888.10	EPCAM	14.6884	7.0469	0.7958	1.3022	0.3743	58.6608	5.0456	0.5419	9.3115	0	0	Up
ENSG00000095002.14	MSH2	13.0563	6.3422	41.3664	39.5108	38.8894	109.8128	-0.7748	0.2275	-3.4054	7e-4	0.0024	NC
ENSG00000116062.15	MSH6	34.6809	16.9125	54.3537	55.7366	56.0322	211.6698	0.1486	0.1974	0.7528	0.4515	0.6123	NC
ENSG00000138081.20	FBXO11	40.393	26.0734	65.7832	71.3113	68.5711	272.1766	0.2345	0.1351	1.7358	0.0826	0.1516	NC
ENSG00000170802.16	FOXN2	117.915	60.6031	64.7504	107.8064	71.9585	566.5554	1.38	0.2755	5.0101	0	0	NC
ENSG00000162869.16	PPP1R21	30.1928	14.4461	55.793	57.2957	58.4464	192.5323	-0.1523	0.2775	-0.5487	0.5832	0.7404	NC
ENSG00000115239.22	ASB3	10.6083	2.4664	18.592	23.6105	23.431	69.6079	-0.4228	0.5226	-0.8089	0.4186	0.576	NC
ENSG00000068912.14	ERLEC1	39.169	11.275	104.542	118.9092	97.8972	279.6297	-0.9559	0.4567	-2.0933	0.0363	0.0764	NC
ENSG00000119737.6	GPR75	0	12.6844	2.7262	2.6215	3.9675	41.3484	2.4931	1.4855	1.6783	0.0933	0.1673	NC
ENSG00000068878.15	PSME4	146.8838	118.3875	191.9482	177.1473	198.2461	954.8262	0.764	0.1082	7.0625	0	0	NC
ENSG00000170634.13	ACYP2	4.0801	15.5031	17.7454	13.4501	25.7142	90.3058	0.5861	0.7649	0.7663	0.4435	0.6035	NC
ENSG00000177994.16	C2orf73	4.0801	5.6375	0.1355	0.2056	0.0374	22.3636	6.4783	0.7521	8.6132	0	0	Up
ENSG00000115306.16	SPTBN1	50.1853	37.3484	11.3618	10.2803	18.5464	246.6878	3.01	0.2819	10.6779	0	0	Up
ENSG00000115310.18	RTN4	118.3231	71.1734	718.9761	613.0507	583.921	1470.3131	-1.4848	0.1545	-9.6092	0	0	NC
ENSG00000162994.16	CLHC1	0.816	7.0469	4.3517	3.7695	4.4167	32.4322	1.5241	0.9935	1.5341	0.125	0.2132	NC
ENSG00000143947.13	RPS27A	600.1835	696.5835	248.808	253.3931	314.8955	3790.7735	2.5685	0.235	10.9308	0	0	Up
ENSG00000085760.15	MTIF2	27.7447	15.8555	63.1248	63.3611	62.3578	196.6625	-0.3057	0.2186	-1.3979	0.1621	0.2651	NC
ENSG00000115355.17	CCDC88A	236.6461	246.2882	614.1801	624.7017	551.7502	2204.3863	0.031	0.1608	0.1928	0.8471	0.914	NC
ENSG00000163001.11	CFAP36	21.2165	20.4359	29.7506	27.3628	26.2007	148.9107	0.887	0.1988	4.4621	0	0	NC
ENSG00000275052.5	PPP4R3B	88.1303	61.3078	170.8163	177.2844	176.3123	637.8975	0.0491	0.099	0.4966	0.6195	0.7666	NC
ENSG00000138035.15	PNPT1	23.6646	24.6641	60.4664	65.9312	54.5724	224.2258	0.0089	0.1881	0.0471	0.9625	0.9802	NC
ENSG00000028116.17	VRK2	22.8486	32.4156	58.0112	47.0154	49.2387	231.2581	0.4763	0.2991	1.5924	0.1113	0.1939	NC
ENSG00000115392.11	FANCL	6.9362	9.8656	24.0951	21.9485	23.1502	72.5439	-0.2627	0.4724	-0.556	0.5782	0.7367	NC
ENSG00000233426.3	EIF3FP3	6.1202	4.2281	1.9642	3.9751	3.1254	25.1743	1.8799	0.6268	2.9991	0.0027	0.0083	NC
ENSG00000119866.22	BCL11A	15.5044	4.2281	4.9951	9.9034	4.3793	56.8982	1.8281	0.5541	3.2994	0.001	0.0034	NC
ENSG00000115421.13	PAPOLG	9.7923	31.7109	32.663	37.0949	37.1302	174.968	0.6758	0.6295	1.0737	0.283	0.4205	NC
ENSG00000162924.14	REL	58.7535	34.882	50.1544	73.8985	77.7413	336.9564	0.7375	0.2555	2.8861	0.0039	0.0115	NC
ENSG00000162927.14	PUS10	17.1364	23.2547	21.1827	22.2912	20.0061	142.0546	1.2849	0.2622	4.9008	0	0	NC
ENSG00000162928.9	PEX13	4.8961	23.9594	35.2029	38.7226	35.371	148.3491	0.2529	0.8461	0.2989	0.765	0.8637	NC
ENSG00000162929.14	KIAA1841	13.0563	13.7414	40.469	40.2475	31.6093	137.1368	-0.086	0.301	-0.2856	0.7752	0.8694	NC
ENSG00000212978.6	AC016747.1	0	11.275	12.31	12.1308	13.2501	51.183	0.2718	1.4154	0.192	0.8477	0.9143	NC
ENSG00000173209.23	AHSA2P	53.4494	21.493	109.9435	125.1459	139.5564	379.6294	-0.4905	0.3993	-1.2283	0.2193	0.3419	NC
ENSG00000115464.15	USP34	155.86	87.3812	141.6922	165.5819	154.1165	824.8829	0.8868	0.1766	5.0217	0	0	NC
ENSG00000082898.17	XPO1	135.0515	121.9109	251.3817	271.041	250.9844	1054.3947	0.2904	0.1178	2.4655	0.0137	0.0345	NC
ENSG00000115484.15	CCT4	19.9925	46.5094	137.4082	130.8173	142.5882	389.1137	-0.6997	0.4957	-1.4117	0.1581	0.2594	NC
ENSG00000173163.10	COMMD1	13.0563	9.1609	28.1251	24.6728	28.2781	100.5659	0.0108	0.2356	0.046	0.9633	0.9807	NC
ENSG00000170340.11	B3GNT2	17.1364	22.55	185.3953	175.2626	190.704	384.9184	-1.9427	0.3818	-5.0878	0	0	NC
ENSG00000115504.14	EHBP1	25.2967	12.6844	16.34	17.9221	18.7148	115.3497	1.2861	0.4896	2.6269	0.0086	0.0231	NC
ENSG00000286480.1	AC009501.3	0.816	12.6844	0.0169	0.0343	0	41.7464	10.1773	1.6498	6.1688	0	0	NC
ENSG00000014641.19	MDH1	81.6021	73.9922	337.1963	320.0268	341.9946	946.5453	-0.7394	0.1582	-4.6753	0	0	NC
ENSG00000169764.15	UGP2	85.6822	79.6297	337.6534	292.15	359.2496	924.6826	-0.7259	0.1703	-4.2614	0	1e-4	NC
ENSG00000143952.20	VPS54	35.0889	38.4055	85.4251	86.2349	92.6383	332.049	0.0672	0.1813	0.3705	0.711	0.8286	NC
ENSG00000197329.12	PELI1	42.4331	16.9125	31.9688	51.4188	26.7622	202.2693	0.9338	0.4038	2.3123	0.0208	0.0484	NC
ENSG00000119862.13	LGALSL	3.2641	16.2078	17.5253	18.9501	9.7691	69.0383	0.5309	0.9151	0.5802	0.5618	0.7233	NC
ENSG00000119844.15	AFTPH	60.7936	41.5766	128.4847	129.8749	121.665	459.5694	-0.0139	0.1555	-0.0894	0.9287	0.9611	NC
ENSG00000179833.4	SERTAD2	26.1127	44.3953	100.3935	102.8719	97.5042	339.7428	-0.1811	0.3431	-0.5278	0.5976	0.7503	NC
ENSG00000115902.11	SLC1A4	6.5282	8.8086	47.1404	44.1712	46.5437	112.248	-1.2573	0.2582	-4.8691	0	0	NC
ENSG00000011523.14	CEP68	19.5845	16.2078	16.8649	16.3457	19.3511	107.8887	1.2388	0.2986	4.1487	0	2e-4	NC
ENSG00000138069.18	RAB1A	218.6937	161.7258	287.7361	281.0301	243.8166	1362.1678	0.7534	0.1146	6.5722	0	0	NC
ENSG00000138071.13	ACTR2	317.4322	238.889	940.8274	1022.1737	1051.3797	2959.7927	-0.5796	0.0951	-6.0961	0	0	NC
ENSG00000198369.10	SPRED2	35.9049	14.0937	29.1918	24.0217	26.0697	160.6021	1.1301	0.3616	3.125	0.0018	0.0058	NC
ENSG00000143995.20	MEIS1	2.4481	5.2852	0.4064	0.3084	0.2807	20.3628	4.8768	0.5582	8.7374	0	0	Up
ENSG00000143971.9	ETAA1	20.4005	0.7047	16.5432	17.2538	18.7522	74.4877	0.3782	1.1086	0.3411	0.733	0.8424	NC
ENSG00000197223.11	C1D	12.2403	16.2078	28.6669	33.2226	31.759	127.5726	0.2473	0.4285	0.5771	0.5639	0.7253	NC
ENSG00000115946.8	PNO1	5.7121	13.3891	27.9727	32.0918	28.9331	93.2202	-0.3488	0.4969	-0.7019	0.4828	0.6454	NC
ENSG00000221823.11	PPP3R1	12.2403	10.5703	62.329	68.0044	58.6148	155.362	-1.1689	0.2174	-5.3772	0	0	NC
ENSG00000115956.10	PLEK	173.4045	105.7031	379.2569	327.4801	431.4888	1277.103	-0.1987	0.1737	-1.1437	0.2528	0.3838	NC
ENSG00000204923.4	FBXO48	13.8724	12.6844	9.296	10.7944	8.927	92.8094	1.8596	0.3267	5.6916	0	0	NC
ENSG00000169621.10	APLF	22.8486	9.8656	3.6913	3.4439	4.8284	82.4422	3.2373	0.3552	9.1153	0	0	Up
ENSG00000163219.12	ARHGAP25	144.8437	87.3812	125.5723	126.9279	132.295	776.4813	1.1214	0.1245	9.0106	0	0	NC
ENSG00000183607.10	GKN2	12.2403	0	0	0	0.1123	25.1288	8.3319	2.6164	3.1844	0.0015	0.0048	NC
ENSG00000198380.12	GFPT1	96.2905	77.5156	87.4739	86.509	68.1406	538.0812	1.3171	0.2443	5.3908	0	0	NC
ENSG00000169599.12	NFU1	3.2641	15.1508	40.3335	36.5295	48.1719	111.9394	-0.876	0.8695	-1.0075	0.3137	0.4575	NC
ENSG00000115977.19	AAK1	97.5145	106.7601	211.8102	181.7563	250.1048	844.1657	0.1949	0.2601	0.7493	0.4537	0.6144	NC
ENSG00000196975.16	ANXA4	100.3706	62.3648	200.9394	221.5926	182.301	706.8301	-0.0674	0.1596	-0.422	0.673	0.8035	NC
ENSG00000087338.5	GMCL1	13.8724	13.3891	36.1004	38.7397	38.5525	118.7033	-0.2777	0.3572	-0.7775	0.4369	0.5966	NC
ENSG00000124380.11	SNRNP27	8.9762	11.275	29.0902	28.8877	31.7216	102.1312	-0.2325	0.2391	-0.9727	0.3307	0.4771	NC
ENSG00000059728.11	MXD1	288.8715	51.4422	44.4143	46.0902	40.0871	856.7574	3.1238	0.6326	4.9382	0	0	NC
ENSG00000179818.14	PCBP1-AS1	25.7047	14.798400000000001	18.7444	22.3083	18.4341	138.6268	1.3384	0.2523	5.3047	0	0	NC
ENSG00000115998.7	C2orf42	7.3442	7.3992000000000004	16.0183	16.2087	17.8539	62.9855	0.1216	0.2752	0.4417	0.6587	0.7932	NC
ENSG00000116001.16	TIA1	35.9049	44.043	108.8768	124.4435	124.8653	374.5838	-0.3725	0.3727	-0.9995	0.3175	0.4621	NC
ENSG00000116005.12	PCYOX1	10.6083	7.0469	67.1209	82.157	88.8767	169.1288	-1.8835	0.2834	-6.6461	0	0	NC
ENSG00000143977.14	SNRPG	20.8085	27.4828	27.8711	33.3597	29.7004	172.9215	0.9987	0.269	3.7126	2e-4	8e-4	NC
ENSG00000035141.8	FAM136A	15.5044	14.0937	52.1017	48.112	47.2175	163.9475	-0.3523	0.2636	-1.3365	0.1814	0.291	NC
ENSG00000163235.16	TGFA	10.6083	0	7.281	12.0623	16.8995	39.4424	-0.2511	1.3262	-0.1893	0.8498	0.9157	NC
ENSG00000144043.12	TEX261	5.7121	9.8656	120.8481	106.7613	129.1135	229.1295	-2.5499	0.4153	-6.1391	0	0	NC
ENSG00000124357.13	NAGK	124.4432	92.314	269.1949	215.116	211.6833	918.9165	0.1997	0.1425	1.4019	0.1609	0.2635	NC
ENSG00000124383.9	MPHOSPH10	26.1127	7.0469	41.4003	41.0014	36.4939	142.9465	-0.0216	0.5905	-0.0366	0.9708	0.9845	NC
ENSG00000075292.19	ZNF638	126.4833	112.3976	148.5499	156.6723	169.0322	815.7456	0.8128	0.205	3.9648	1e-4	3e-4	NC
ENSG00000135636.14	DYSF	68.5458	8.1039	2.269	11	7.3362	170.5651	3.4967	0.8614	4.0592	0	2e-4	NC
ENSG00000144036.15	EXOC6B	3.2641	19.0266	34.2208	28.1681	32.4141	108.1869	-0.1517	0.7696	-0.1971	0.8437	0.9118	NC
ENSG00000135631.16	RAB11FIP5	3.2641	4.9328	6.3159	7.3162	6.1759	37.5529	0.7815	0.4901	1.5944	0.1109	0.1933	NC
ENSG00000135617.4	PRADC1	6.5282	7.7516	16.323	12.7647	18.2095	58.9768	0.1345	0.4191	0.3208	0.7483	0.8521	NC
ENSG00000135624.16	CCT7	32.6408	13.7414	161.9944	159.6536	164.6717	370.3218	-1.5378	0.2271	-6.7714	0	0	NC
ENSG00000116127.18	ALMS1	68.9538	63.4219	35.0167	37.3519	36.1009	403.5974	2.1859	0.1184	18.4553	0	0	Up
ENSG00000144034.15	TPRKB	9.7923	8.1039	21.2335	23.8504	23.7117	75.0882	-0.1067	0.2892	-0.3691	0.712	0.8293	NC
ENSG00000144048.10	DUSP11	37.129	14.798400000000001	27.4647	31.8519	28.877	165.5642	1.0102	0.3046	3.317	9e-4	0.0032	NC
ENSG00000124356.16	STAMBP	32.6408	9.8656	62.2613	50.9733	61.6092	198.1282	-0.1889	0.4246	-0.445	0.6564	0.7915	NC
ENSG00000114956.20	DGUOK	22.4406	14.798400000000001	31.1899	30.5326	36.3816	139.9307	0.4472	0.2142	2.0883	0.0368	0.0772	NC
ENSG00000187605.15	TET3	89.7623	21.8453	83.2069	92.4887	78.7707	387.5489	0.5405	0.4908	1.1013	0.2708	0.406	NC
ENSG00000114978.18	MOB1A	370.4736	283.989	450.6279	513.2457	462.4431	2347.1131	0.7123	0.1103	6.4601	0	0	NC
ENSG00000065911.12	MTHFD2	28.5607	23.9594	92.7908	105.956	70.3677	274.3235	-0.4755	0.293	-1.6226	0.1047	0.1839	NC
ENSG00000204843.12	DCTN1	14.2804	25.0164	159.573	139.4356	153.2743	337.8547	-1.6075	0.3522	-4.5646	0	0	NC
ENSG00000115282.20	TTC31	12.2403	11.9797	50.1714	50.3565	53.8238	140.4234	-0.7868	0.2082	-3.7785	2e-4	7e-4	NC
ENSG00000115289.14	PCGF1	11.0163	4.9328	21.7923	19.07	21.8028	66.1312	-0.2259	0.4147	-0.5448	0.5859	0.7425	NC
ENSG00000115307.17	AUP1	32.2328	24.6641	160.8769	140.7892	158.1028	383.9367	-1.1401	0.1641	-6.9497	0	0	NC
ENSG00000115318.12	LOXL3	8.9762	1.057	34.187	30.4641	41.4907	81.3199	-1.5314	0.761	-2.0124	0.0442	0.0902	NC
ENSG00000115325.13	DOK1	22.0326	4.9328	87.8972	72.9218	94.8093	193.7777	-1.5181	0.5076	-2.9906	0.0028	0.0086	NC
ENSG00000159399.9	HK2	38.353	71.8781	501.7136	425.3146	437.7396	1009.9292	-1.6649	0.4075	-4.0861	0	2e-4	NC
ENSG00000115350.12	POLE4	11.8323	26.0734	29.8691	25.1012	31.0666	153.4896	0.8407	0.4663	1.8031	0.0714	0.1341	NC
ENSG00000115364.14	MRPL19	43.6571	17.2648	52.0001	58.2381	53.2249	239.6569	0.4366	0.2908	1.5014	0.1333	0.225	NC
ENSG00000005436.14	GCFC2	11.4243	15.8555	17.3051	16.5171	18.4715	108.841	1.0836	0.3463	3.1293	0.0018	0.0057	NC
ENSG00000163541.12	SUCLG1	19.5845	45.8047	76.6709	72.682	79.3321	289.2811	0.1048	0.5452	0.1922	0.8476	0.9143	NC
ENSG00000115423.18	DNAH6	5.7121	4.2281	1.7271	1.5078	0.5802	25.693	3.214	0.578	5.5608	0	0	NC
ENSG00000034510.6	TMSB10	464.316	683.8991	488.0829	485.6773	523.7341	3836.9661	1.5564	0.3291	4.7296	0	0	NC
ENSG00000176407.18	KCMF1	39.985	49.3281	76.3323	71.5683	75.8886	347.5581	0.5772	0.2126	2.7153	0.0066	0.0184	NC
ENSG00000152291.14	TGOLN2	71.8099	77.5156	1336.3565	1193.0329	1486.5553	2474.9184	-2.8595	0.1988	-14.3815	0	0	Down
ENSG00000042445.14	RETSAT	13.8724	1.4094	97.3965	106.1102	95.1836	184.0309	-2.7669	0.835	-3.3136	9e-4	0.0032	NC
ENSG00000115459.18	ELMOD3	4.8961	13.7414	43.4491	44.3425	43.5681	112.7663	-0.9802	0.5809	-1.6873	0.0915	0.165	NC
ENSG00000042493.16	CAPG	53.8574	97.9515	791.1091	807.2976	720.3146	1607.353	-2.0028	0.38	-5.2704	0	0	NC
ENSG00000168906.13	MAT2A	121.1791	81.039	301.062	350.4395	277.4846	970.8724	-0.3769	0.1641	-2.2963	0.0217	0.0503	NC
ENSG00000115486.12	GGCX	5.7121	4.2281	58.8917	48.8659	65.1463	117.7242	-2.2268	0.3537	-6.2959	0	0	NC
ENSG00000118640.11	VAMP8	191.765	192.0273	298.573	274.742	320.0421	1463.3736	0.6842	0.1481	4.6204	0	0	NC
ENSG00000168899.5	VAMP5	34.6809	11.9797	11.565	10.1947	16.2632	138.4835	2.157	0.4097	5.2645	0	0	NC
ENSG00000168894.10	RNF181	49.7773	33.1203	66.6129	57.3129	70.9666	308.0287	0.6219	0.1813	3.431	6e-4	0.0022	NC
ENSG00000168883.20	USP39	19.5845	11.275	57.9773	64.8175	64.7907	175.4783	-0.7409	0.1967	-3.7667	2e-4	7e-4	NC
ENSG00000168887.11	C2orf68	32.6408	7.0469	33.4419	34.165	34.1545	142.4905	0.364	0.5149	0.7071	0.4795	0.642	NC
ENSG00000168878.18	SFTPB	113.4269	0	0.8466	1.7819	0.4117	242.0197	6.8408	1.8825	3.6339	3e-4	0.0011	NC
ENSG00000115523.16	GNLY	61.6096	4.9328	6.5191	7.2648	4.66	157.5527	3.5364	1.1612	3.0455	0.0023	0.0073	NC
ENSG00000115525.18	ST3GAL5	57.9375	14.798400000000001	62.3121	76.2801	54.7034	272.2944	0.3657	0.4837	0.7561	0.4496	0.6104	NC
ENSG00000068654.16	POLR1A	14.6884	9.1609	84.8832	76.263	75.5143	183.082	-1.4461	0.216	-6.6958	0	0	NC
ENSG00000132300.19	PTCD3	40.8011	19.0266	86.2717	80.9234	87.2672	283.3679	-0.2339	0.2079	-1.125	0.2606	0.3935	NC
ENSG00000132305.20	IMMT	64.8737	47.2141	162.4855	157.1349	160.8164	546.8852	-0.2124	0.1128	-1.8836	0.0596	0.1153	NC
ENSG00000132313.15	MRPL35	39.169	38.7578	45.6165	47.1353	45.4209	283.4577	1.0936	0.1666	6.5632	0	0	NC
ENSG00000115548.17	KDM3A	49.7773	46.5094	107.5391	112.8609	127.0923	435.1461	0.0525	0.1576	0.3331	0.739	0.8463	NC
ENSG00000115561.16	CHMP3	21.2165	34.1773	105.9982	114.8142	122.0019	330.608	-0.6628	0.3259	-2.0334	0.042	0.0863	NC
ENSG00000239305.7	RNF103	14.6884	2.1141	19.6926	22.7881	21.8963	77.5381	-0.0464	0.678	-0.0685	0.9454	0.9703	NC
ENSG00000153561.13	RMND5A	38.353	12.6844	65.0043	62.6244	74.3914	231.0096	-0.1549	0.4706	-0.3292	0.742	0.8482	NC
ENSG00000222041.11	CYTOR	17.1364	4.9328	4.6395	5.0031	3.7617	54.0448	2.4174	0.4876	4.9576	0	0	NC
ENSG00000172086.9	KRCC1	38.353	10.5703	35.2199	45.9874	53.4682	181.8378	0.2784	0.4624	0.6022	0.547	0.7113	NC
ENSG00000153574.9	RPIA	4.0801	11.9797	34.5595	37.369	34.585	100.787	-0.7193	0.7706	-0.9335	0.3506	0.5005	NC
ENSG00000211592.8	IGKC	251.3345	0	2.0658	1.2165	2.2271	565.8517	7.1994	1.9735	3.648	3e-4	0.0011	NC
ENSG00000172005.11	MAL	55.4894	11.275	1.6763	0.6168	1.9838	152.9756	5.6682	0.8177	6.9319	0	0	Up
ENSG00000144029.12	MRPS5	39.169	34.882	75.8243	68.9468	70.5174	293.6934	0.3137	0.2286	1.372	0.1701	0.2756	NC
ENSG00000144026.12	ZNF514	7.3442	9.1609	28.4976	35.7413	40.0684	94.8726	-0.7764	0.3257	-2.3841	0.0171	0.0417	NC
ENSG00000115042.10	FAHD2A	12.2403	11.9797	18.1518	20.0295	18.2095	87.4468	0.6598	0.2182	3.0244	0.0025	0.0078	NC
ENSG00000232931.6	LINC00342	47.7372	36.6437	19.7604	17.7678	14.0735	235.4996	2.5658	0.1996	12.8526	0	0	Up
ENSG00000174501.14	ANKRD36C	37.129	14.4461	4.1824	4.7461	3.3874	132.2321	3.8875	0.3361	11.5657	0	0	Up
ENSG00000084090.13	STARD7	86.4982	63.7742	271.5146	279.3167	279.9737	805.836	-0.5965	0.0899	-6.634	0	0	NC
ENSG00000135956.8	TMEM127	22.8486	24.6641	334.3008	310.4661	364.6395	660.2546	-2.4511	0.2304	-10.6376	0	0	Down
ENSG00000144021.3	CIAO1	57.9375	21.1406	173.3562	166.5757	181.1969	476.8552	-0.8261	0.3801	-2.1737	0.0297	0.0657	NC
ENSG00000144028.15	SNRNP200	28.1527	38.0531	327.9341	348.195	344.5772	726.9092	-1.8877	0.3818	-4.944	0	0	NC
ENSG00000196843.16	ARID5A	4.8961	3.5234	75.3671	76.657	63.2187	134.8266	-2.7912	0.3468	-8.0474	0	0	Down
ENSG00000114982.19	KANSL3	22.0326	53.9086	108.2164	113.4949	103.4555	373.855	-0.1404	0.4795	-0.2927	0.7697	0.8663	NC
ENSG00000114988.11	LMAN2L	6.5282	4.9328	34.7288	31.218	35.8202	87.2757	-1.2388	0.3181	-3.8939	1e-4	4e-4	NC
ENSG00000158158.12	CNNM4	5.7121	2.8187	49.5618	48.9687	33.8364	91.532	-2.0848	0.4059	-5.1358	0	0	NC
ENSG00000135976.19	ANKRD36	8.1602	9.8656	12.2084	10.8458	12.6325	68.756	0.9399	0.2776	3.3863	7e-4	0.0026	NC
ENSG00000196912.12	ANKRD36B	18.7685	0	5.4523	3.7352	3.1628	42.7372	2.1028	1.4839	1.4171	0.1565	0.2572	NC
ENSG00000135940.7	COX5B	31.4168	33.1203	70.5244	60.911	69.8063	258.0081	0.1866	0.2522	0.7399	0.4594	0.6205	NC
ENSG00000115073.8	ACTR1B	13.0563	5.6375	87.203	68.21	84.2541	172.8042	-1.8256	0.294	-6.2098	0	0	NC
ENSG00000075568.17	TMEM131	55.4894	52.1469	155.1706	142.6225	167.5912	525.2164	-0.2105	0.1518	-1.3866	0.1656	0.2695	NC
ENSG00000168658.19	VWA3B	8.9762	11.275	3.2849	1.7305	0.5614	64.215	3.9494	0.7023	5.6236	0	0	NC
ENSG00000040933.15	INPP4A	45.2892	17.6172	141.8107	143.1194	136.4872	365.6351	-0.9751	0.3403	-2.8657	0.0042	0.0122	NC
ENSG00000183513.9	COA5	24.4806	8.4562	29.2257	34.3192	34.3978	138.3616	0.3294	0.3866	0.852	0.3942	0.5492	NC
ENSG00000115446.11	UNC50	3.6721	4.2281	67.4426	70.4203	66.6247	125.9238	-2.7958	0.326	-8.5768	0	0	Down
ENSG00000071073.13	MGAT4A	125.2592	64.8312	162.7902	233.9804	237.0793	792.6332	0.0816	0.2535	0.3218	0.7476	0.8518	NC
ENSG00000226791.7	LINC02611	4.4881	4.9328	5.8248	8.2757	11.3037	40.4386	0.5266	0.4689	1.123	0.2614	0.3946	NC
ENSG00000196872.12	KIAA1211L	6.5282	12.332	3.5389	4.2321	6.9993	64.4613	2.4123	0.5324	4.5305	0	0	NC
ENSG00000135951.15	TSGA10	6.5282	7.7516	2.6584	1.4221	1.4972	41.2131	3.2784	0.4401	7.4499	0	0	Up
ENSG00000158411.11	MITD1	24.4806	5.6375	30.902	32.006100000000004	29.925	120.0967	0.1635	0.4982	0.3281	0.7428	0.8486	NC
ENSG00000185414.20	MRPL30	13.8724	13.7414	31.3423	32.0404	32.6948	127.1222	0.1058	0.1991	0.5314	0.5951	0.7487	NC
ENSG00000115514.12	TXNDC9	22.0326	13.3891	35.2876	40.1104	35.1839	148.5876	0.2269	0.1886	1.2034	0.2288	0.3542	NC
ENSG00000158417.11	EIF5B	97.5145	48.6234	156.1188	151.8748	142.2513	599.0186	0.225	0.194	1.1598	0.2461	0.3757	NC
ENSG00000135945.10	REV1	28.5607	22.1977	51.1027	51.1961	50.7733	202.4394	0.2792	0.1437	1.9422	0.0521	0.103	NC
ENSG00000115539.14	PDCL3	33.4569	23.9594	31.0544	25.6323	27.0803	185.4366	1.3012	0.3574	3.6406	3e-4	0.0011	NC
ENSG00000170485.17	NPAS2	7.3442	4.9328	3.2341	0.2399	0.3743	29.7676	3.405	1.018	3.3447	8e-4	0.0029	NC
ENSG00000071082.11	RPL31	1301.1457	1542.5607	237.8864	226.8356	286.6361	7845.7687	3.8366	0.2293	16.7298	0	0	Up
ENSG00000204634.12	TBC1D8	34.2729	9.5133	33.3403	21.6915	45.3834	168.1518	0.7129	0.5462	1.3051	0.1919	0.3051	NC
ENSG00000158435.8	CNOT11	14.2804	19.7312	47.2759	47.9064	45.5893	160.6667	-0.1435	0.216	-0.6644	0.5064	0.67	NC
ENSG00000163162.9	RNF149	67.3217	35.5867	451.2206	430.3691	456.2298	937.4216	-1.9052	0.2115	-9.0073	0	0	NC
ENSG00000071054.16	MAP4K4	70.9938	76.4586	120.882	170.4651	144.5345	595.7199	0.3013	0.2264	1.3304	0.1834	0.2938	NC
ENSG00000115590.14	IL1R2	45.6972	2.8187	2.0488	3.067	0.6737	112.8794	4.7824	1.0556	4.5307	0	0	NC
ENSG00000115594.12	IL1R1	39.985	15.8555	8.1446	21.109	8.8521	146.2076	2.284	0.5049	4.5234	0	0	NC
ENSG00000115602.17	IL1RL1	19.5845	0	0.1355	0.1371	0.3369	38.8808	6.5235	1.5707	4.1532	0	2e-4	NC
ENSG00000115604.10	IL18R1	10.6083	0	4.4871	4.4891	3.612	29.0481	1.3866	1.299	1.0674	0.2858	0.424	NC
ENSG00000135972.9	MRPS9	9.3842	1.4094	12.818	12.3364	12.9881	47.2953	0.0189	0.5786	0.0327	0.9739	0.9862	NC
ENSG00000135966.13	TGFBRAP1	25.7047	10.5703	63.0402	64.1322	60.636	183.6671	-0.5639	0.3105	-1.8161	0.0694	0.1309	NC
ENSG00000135974.10	C2orf49	6.5282	5.6375	29.5644	30.6525	30.8233	75.366	-1.0276	0.2761	-3.7221	2e-4	8e-4	NC
ENSG00000115641.19	FHL2	11.4243	0.7047	0.5418	0.5483	0.6924	26.1941	4.3944	0.9511	4.6204	0	0	NC
ENSG00000071051.14	NCK2	13.8724	16.2078	12.1746	11.7196	12.9319	106.3999	1.6869	0.3039	5.5499	0	0	NC
ENSG00000115652.14	UXS1	18.7685	12.6844	82.6651	73.4016	68.6459	198.4458	-0.9596	0.2077	-4.621	0	0	NC
ENSG00000198203.10	SULT1C2	3.2641	10.5703	4.5379	4.7975	0.2994	40.1422	2.4158	1.0427	2.3168	0.0205	0.0481	NC
